Date,VNINDEX,MA10,MA20,MA50,MA100,MA200
2000-07-28,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-31,101.55,0.0,0.0,0.0,0.0,0.0
2000-08-02,103.38,0.0,0.0,0.0,0.0,0.0
2000-08-04,105.2,0.0,0.0,0.0,0.0,0.0
2000-08-07,106.92,0.0,0.0,0.0,0.0,0.0
2000-08-09,108.64,0.0,0.0,0.0,0.0,0.0
2000-08-11,110.36,0.0,0.0,0.0,0.0,0.0
2000-08-14,112.08,0.0,0.0,0.0,0.0,0.0
2000-08-16,113.8,0.0,0.0,0.0,0.0,0.0
2000-08-18,115.52,0.5076142,0.0,0.0,0.0,0.0
2000-08-21,117.24,0.5076142,0.0,0.0,0.0,0.0
2000-08-23,118.96,0.5076142,0.0,0.0,0.0,0.0
2000-08-25,118.84,0.5076142,0.0,0.0,0.0,0.0
2000-08-28,117.0,0.5076142,0.0,0.0,0.0,0.0
2000-08-30,115.15,0.2538071,0.0,0.0,0.0,0.0
2000-09-01,113.37,0.0,0.0,0.0,0.0,0.0
2000-09-06,112.51,0.0,0.0,0.0,0.0,0.0
2000-09-08,112.39,0.0,0.0,0.0,0.0,0.0
2000-09-11,114.11,0.2538071,0.0,0.0,0.0,0.0
2000-09-13,116.08,0.2538071,0.5076142,0.0,0.0,0.0
2000-09-15,118.04,0.5076142,0.5076142,0.0,0.0,0.0
2000-09-18,118.19,0.2538071,0.5076142,0.0,0.0,0.0
2000-09-20,118.21,0.5076142,0.5076142,0.0,0.0,0.0
2000-09-22,118.76,0.7614213,0.2538071,0.0,0.0,0.0
2000-09-25,118.98,0.7614213,0.2538071,0.0,0.0,0.0
2000-09-27,119.69,0.7614213,0.2538071,0.0,0.0,0.0
2000-09-29,120.71,0.7614213,0.2538071,0.0,0.0,0.0
2000-10-02,120.92,0.5076142,0.2538071,0.0,0.0,0.0
2000-10-04,121.14,0.5076142,0.2538071,0.0,0.0,0.0
2000-10-06,122.21,0.5076142,0.5076142,0.0,0.0,0.0
2000-10-09,124.33,0.7614213,0.7614213,0.0,0.0,0.0
2000-10-11,126.45,0.7614213,0.7614213,0.0,0.0,0.0
2000-10-13,128.57,0.7614213,0.7614213,0.0,0.0,0.0
2000-10-16,130.71,0.7614213,0.7614213,0.0,0.0,0.0
2000-10-18,132.85,0.7614213,0.7614213,0.0,0.0,0.0
2000-10-20,135.04,0.7614213,0.7614213,0.0,0.0,0.0
2000-10-23,136.55,0.7614213,0.7614213,0.0,0.0,0.0
2000-10-25,137.08,0.7614213,0.7614213,0.0,0.0,0.0
2000-10-27,139.57,0.7614213,0.7614213,0.0,0.0,0.0
2000-10-30,140.84,0.7614213,0.7614213,0.0,0.0,0.0
2000-11-01,143.33,0.7614213,0.7614213,0.0,0.0,0.0
2000-11-03,145.83,0.7614213,0.7614213,0.0,0.0,0.0
2000-11-06,148.57,0.7614213,0.7614213,0.0,0.0,0.0
2000-11-08,151.32,0.7614213,0.7614213,0.0,0.0,0.0
2000-11-10,154.08,0.7614213,0.7614213,0.0,0.0,0.0
2000-11-13,156.84,0.7614213,0.7614213,0.0,0.0,0.0
2000-11-15,159.6,0.7614213,0.7614213,0.0,0.0,0.0
2000-11-17,162.36,0.7614213,0.7614213,0.0,0.0,0.0
2000-11-20,165.17,0.7614213,0.7614213,0.0,0.0,0.0
2000-11-22,165.52,0.7614213,0.7614213,0.5076142,0.0,0.0
2000-11-24,166.17,0.7614213,0.7614213,0.5076142,0.0,0.0
2000-11-27,165.6,0.5076142,0.7614213,0.5076142,0.0,0.0
2000-11-29,168.73,0.5076142,0.7614213,0.5076142,0.0,0.0
2000-12-01,171.87,0.7614213,0.7614213,0.5076142,0.0,0.0
2000-12-04,175.0,0.7614213,0.7614213,0.5076142,0.0,0.0
2000-12-06,178.13,0.7614213,0.7614213,0.5076142,0.0,0.0
2000-12-08,181.26,0.7614213,0.7614213,0.5076142,0.0,0.0
2000-12-11,181.94,0.7614213,0.7614213,0.5076142,0.0,0.0
2000-12-13,184.48,0.7614213,0.7614213,0.5076142,0.0,0.0
2000-12-15,187.62,0.7614213,0.7614213,0.7614213,0.0,0.0
2000-12-18,191.11,0.7614213,0.7614213,0.7614213,0.0,0.0
2000-12-20,194.85,0.7614213,0.7614213,0.7614213,0.0,0.0
2000-12-22,198.58,0.7614213,0.7614213,0.7614213,0.0,0.0
2000-12-25,202.32,0.7614213,0.7614213,0.7614213,0.0,0.0
2000-12-27,203.09,0.7614213,0.7614213,0.7614213,0.0,0.0
2000-12-29,206.83,0.7614213,0.7614213,0.7614213,0.0,0.0
2001-01-03,210.56,0.7614213,0.7614213,0.7614213,0.0,0.0
2001-01-05,214.32,0.7614213,0.7614213,0.7614213,0.0,0.0
2001-01-08,218.12,1.015228,0.7614213,0.7614213,0.0,0.0
2001-01-10,222.15,1.015228,0.7614213,0.7614213,0.0,0.0
2001-01-12,225.67,1.015228,0.7614213,0.7614213,0.0,0.0
2001-01-15,228.35,1.015228,0.7614213,0.7614213,0.0,0.0
2001-01-17,232.68,1.015228,0.7614213,0.7614213,0.0,0.0
2001-01-19,236.97,1.015228,0.7614213,0.7614213,0.0,0.0
2001-01-29,241.36,1.015228,0.7614213,0.7614213,0.0,0.0
2001-01-31,245.8,1.015228,0.7614213,0.7614213,0.0,0.0
2001-02-02,250.23,1.015228,0.7614213,0.7614213,0.0,0.0
2001-02-05,254.96,1.015228,0.7614213,0.7614213,0.0,0.0
2001-02-07,259.93,1.015228,1.015228,0.7614213,0.0,0.0
2001-02-09,260.15,1.015228,1.015228,0.7614213,0.0,0.0
2001-02-12,256.18,1.015228,1.015228,0.7614213,0.0,0.0
2001-02-14,252.21,0.7614213,1.015228,0.7614213,0.0,0.0
2001-02-16,248.98,0.5076142,1.015228,0.7614213,0.0,0.0
2001-02-19,245.99,0.5076142,1.015228,0.7614213,0.0,0.0
2001-02-21,246.75,0.5076142,1.015228,0.7614213,0.0,0.0
2001-02-23,251.22,0.5076142,1.015228,0.7614213,0.0,0.0
2001-02-26,255.61,0.7614213,1.015228,0.7614213,0.0,0.0
2001-02-28,252.4,0.5076142,1.015228,0.7614213,0.0,0.0
2001-03-02,253.64,0.7614213,0.7614213,0.7614213,0.0,0.0
2001-03-05,250.73,0.5076142,0.7614213,0.7614213,0.0,0.0
2001-03-07,248.05,0.5076142,0.5076142,0.7614213,0.0,0.0
2001-03-09,252.61,0.7614213,0.5076142,0.7614213,0.0,0.0
2001-03-12,255.99,0.7614213,0.7614213,0.7614213,0.0,0.0
2001-03-14,257.7,0.7614213,0.7614213,0.7614213,0.0,0.0
2001-03-16,258.52,0.7614213,0.7614213,0.7614213,0.0,0.0
2001-03-19,260.29,1.015228,0.7614213,0.7614213,0.0,0.0
2001-03-21,261.11,1.015228,0.7614213,0.7614213,0.0,0.0
2001-03-23,259.6,0.7614213,0.5076142,0.7614213,0.0,0.0
2001-03-26,260.11,0.7614213,0.5076142,0.7614213,0.0,0.0
2001-03-28,264.7,0.7614213,1.015228,0.7614213,0.5076142,0.0
2001-03-30,269.3,1.015228,1.015228,0.7614213,0.5076142,0.0
2001-04-02,274.43,1.015228,1.015228,0.7614213,0.5076142,0.0
2001-04-04,279.56,1.015228,1.015228,0.7614213,0.5076142,0.0
2001-04-06,284.69,1.015228,1.015228,0.7614213,0.5076142,0.0
2001-04-09,289.82,1.015228,1.015228,0.7614213,0.5076142,0.0
2001-04-11,295.09,1.015228,1.015228,0.7614213,0.5076142,0.0
2001-04-13,300.36,1.015228,1.015228,0.7614213,0.5076142,0.0
2001-04-16,306.16,1.015228,1.015228,0.7614213,0.5076142,0.0
2001-04-18,311.96,1.015228,1.015228,1.015228,0.5076142,0.0
2001-04-20,317.76,1.015228,1.015228,1.015228,0.7614213,0.0
2001-04-23,313.74,1.015228,1.015228,1.015228,0.7614213,0.0
2001-04-25,315.27,1.015228,1.015228,1.015228,0.7614213,0.0
2001-04-27,321.07,1.015228,1.015228,1.015228,0.7614213,0.0
2001-05-02,327.13,1.015228,1.015228,1.015228,0.7614213,0.0
2001-05-04,332.0,1.015228,1.015228,1.015228,0.7614213,0.0
2001-05-07,338.35,1.015228,1.015228,1.015228,0.7614213,0.0
2001-05-09,344.47,1.015228,1.015228,1.015228,0.7614213,0.0
2001-05-11,351.06,1.015228,1.015228,1.015228,0.7614213,0.0
2001-05-14,357.65,1.015228,1.015228,1.015228,0.7614213,0.0
2001-05-16,364.27,1.015228,1.015228,1.015228,0.7614213,0.0
