Date,VNINDEX,NH,NL,Net_High_Low,Indicator_MA21
2000-07-28,100.0,0,0,0,
2000-07-31,101.55,1,0,1,
2000-08-02,103.38,2,0,2,
2000-08-04,105.2,2,0,2,
2000-08-07,106.92,2,0,2,
2000-08-09,108.64,2,0,2,
2000-08-11,110.36,2,0,2,
2000-08-14,112.08,2,0,2,
2000-08-16,113.8,2,0,2,
2000-08-18,115.52,2,0,2,
2000-08-21,117.24,2,0,2,
2000-08-23,118.96,2,0,2,
2000-08-25,118.84,1,1,0,
2000-08-28,117.0,0,2,-2,
2000-08-30,115.15,0,2,-2,
2000-09-01,113.37,0,2,-2,
2000-09-06,112.51,0,1,-1,
2000-09-08,112.39,1,1,0,
2000-09-11,114.11,2,0,2,
2000-09-13,116.08,2,0,2,
2000-09-15,118.04,2,0,2,0.9523809523809523
2000-09-18,118.19,1,1,0,0.9523809523809523
2000-09-20,118.21,1,1,0,0.9047619047619048
2000-09-22,118.76,1,1,0,0.8095238095238095
2000-09-25,118.98,1,0,1,0.7619047619047619
2000-09-27,119.69,1,0,1,0.7142857142857143
2000-09-29,120.71,2,0,2,0.7142857142857143
2000-10-02,120.92,1,0,1,0.6666666666666666
2000-10-04,121.14,1,0,1,0.6190476190476191
2000-10-06,122.21,1,0,1,0.5714285714285714
2000-10-09,124.33,3,0,3,0.6190476190476191
2000-10-11,126.45,3,0,3,0.6666666666666666
2000-10-13,128.57,3,0,3,0.7142857142857143
2000-10-16,130.71,3,0,3,0.8571428571428571
2000-10-18,132.85,3,0,3,1.0952380952380953
2000-10-20,135.04,3,0,3,1.3333333333333333
2000-10-23,136.55,2,0,2,1.5238095238095237
2000-10-25,137.08,2,1,1,1.619047619047619
2000-10-27,139.57,3,0,3,1.7619047619047619
2000-10-30,140.84,2,0,2,1.7619047619047619
2000-11-01,143.33,3,0,3,1.8095238095238095
2000-11-03,145.83,3,0,3,1.8571428571428572
2000-11-06,148.57,3,0,3,2.0
2000-11-08,151.32,3,0,3,2.142857142857143
2000-11-10,154.08,3,0,3,2.2857142857142856
2000-11-13,156.84,3,0,3,2.380952380952381
2000-11-15,159.6,3,0,3,2.4761904761904763
2000-11-17,162.36,3,0,3,2.5238095238095237
2000-11-20,165.17,3,0,3,2.619047619047619
2000-11-22,165.52,2,1,1,2.619047619047619
2000-11-24,166.17,2,1,1,2.619047619047619
2000-11-27,165.6,2,1,1,2.5238095238095237
2000-11-29,168.73,3,0,3,2.5238095238095237
2000-12-01,171.87,3,0,3,2.5238095238095237
2000-12-04,175.0,3,0,3,2.5238095238095237
2000-12-06,178.13,3,0,3,2.5238095238095237
2000-12-08,181.26,3,0,3,2.5238095238095237
2000-12-11,181.94,2,1,1,2.4761904761904763
2000-12-13,184.48,2,1,1,2.4761904761904763
2000-12-15,187.62,3,0,3,2.4761904761904763
2000-12-18,191.11,4,0,4,2.5714285714285716
2000-12-20,194.85,4,0,4,2.619047619047619
2000-12-22,198.58,4,0,4,2.6666666666666665
2000-12-25,202.32,4,0,4,2.7142857142857144
2000-12-27,203.09,3,1,2,2.6666666666666665
2000-12-29,206.83,4,0,4,2.7142857142857144
2001-01-03,210.56,4,0,4,2.761904761904762
2001-01-05,214.32,4,0,4,2.8095238095238093
2001-01-08,218.12,4,0,4,2.857142857142857
2001-01-10,222.15,4,0,4,2.9047619047619047
2001-01-12,225.67,3,1,2,2.9523809523809526
2001-01-15,228.35,3,0,3,3.0476190476190474
2001-01-17,232.68,4,0,4,3.1904761904761907
2001-01-19,236.97,4,0,4,3.238095238095238
2001-01-29,241.36,4,0,4,3.2857142857142856
2001-01-31,245.8,4,0,4,3.3333333333333335
2001-02-02,250.23,4,0,4,3.380952380952381
2001-02-05,254.96,4,0,4,3.4285714285714284
2001-02-07,259.93,4,0,4,3.5714285714285716
2001-02-09,260.15,3,1,2,3.619047619047619
2001-02-12,256.18,2,2,0,3.4761904761904763
2001-02-14,252.21,2,2,0,3.2857142857142856
2001-02-16,248.98,2,2,0,3.0952380952380953
2001-02-19,245.99,2,2,0,2.9047619047619047
2001-02-21,246.75,3,1,2,2.8095238095238093
2001-02-23,251.22,4,0,4,2.9047619047619047
2001-02-26,255.61,4,0,4,2.9047619047619047
2001-02-28,252.4,2,2,0,2.7142857142857144
2001-03-02,253.64,3,1,2,2.619047619047619
2001-03-05,250.73,2,2,0,2.4285714285714284
2001-03-07,248.05,2,2,0,2.238095238095238
2001-03-09,252.61,4,0,4,2.3333333333333335
2001-03-12,255.99,4,0,4,2.380952380952381
2001-03-14,257.7,3,0,3,2.3333333333333335
2001-03-16,258.52,2,0,2,2.238095238095238
2001-03-19,260.29,3,0,3,2.1904761904761907
2001-03-21,261.11,2,0,2,2.0952380952380953
2001-03-23,259.6,2,1,1,1.9523809523809523
2001-03-26,260.11,3,1,2,1.8571428571428572
2001-03-28,264.7,4,0,4,1.8571428571428572
2001-03-30,269.3,4,0,4,1.9523809523809523
