Date,VNINDEX,AD_Line
2000-07-28,100.0,0
2000-07-31,101.55,1
2000-08-02,103.38,3
2000-08-04,105.2,5
2000-08-07,106.92,7
2000-08-09,108.64,9
2000-08-11,110.36,11
2000-08-14,112.08,13
2000-08-16,113.8,15
2000-08-18,115.52,17
2000-08-21,117.24,19
2000-08-23,118.96,21
2000-08-25,118.84,21
2000-08-28,117.0,19
2000-08-30,115.15,17
2000-09-01,113.37,15
2000-09-06,112.51,14
2000-09-08,112.39,14
2000-09-11,114.11,16
2000-09-13,116.08,18
2000-09-15,118.04,20
2000-09-18,118.19,20
2000-09-20,118.21,20
2000-09-22,118.76,20
2000-09-25,118.98,21
2000-09-27,119.69,22
2000-09-29,120.71,24
2000-10-02,120.92,25
2000-10-04,121.14,26
2000-10-06,122.21,27
2000-10-09,124.33,30
2000-10-11,126.45,33
2000-10-13,128.57,36
2000-10-16,130.71,39
2000-10-18,132.85,42
2000-10-20,135.04,45
2000-10-23,136.55,47
2000-10-25,137.08,48
2000-10-27,139.57,51
2000-10-30,140.84,53
2000-11-01,143.33,56
2000-11-03,145.83,59
2000-11-06,148.57,62
2000-11-08,151.32,65
2000-11-10,154.08,68
2000-11-13,156.84,71
2000-11-15,159.6,74
2000-11-17,162.36,77
2000-11-20,165.17,80
2000-11-22,165.52,81
2000-11-24,166.17,82
2000-11-27,165.6,83
2000-11-29,168.73,86
2000-12-01,171.87,89
2000-12-04,175.0,92
2000-12-06,178.13,95
2000-12-08,181.26,98
2000-12-11,181.94,99
2000-12-13,184.48,100
2000-12-15,187.62,103
2000-12-18,191.11,107
2000-12-20,194.85,111
2000-12-22,198.58,115
2000-12-25,202.32,119
2000-12-27,203.09,121
2000-12-29,206.83,125
2001-01-03,210.56,129
2001-01-05,214.32,133
2001-01-08,218.12,137
2001-01-10,222.15,141
2001-01-12,225.67,143
2001-01-15,228.35,146
2001-01-17,232.68,150
2001-01-19,236.97,154
2001-01-29,241.36,158
2001-01-31,245.8,162
2001-02-02,250.23,166
2001-02-05,254.96,170
2001-02-07,259.93,174
2001-02-09,260.15,176
2001-02-12,256.18,176
2001-02-14,252.21,176
2001-02-16,248.98,176
2001-02-19,245.99,176
2001-02-21,246.75,178
2001-02-23,251.22,182
2001-02-26,255.61,186
2001-02-28,252.4,186
2001-03-02,253.64,188
2001-03-05,250.73,188
