Date,Open,High,Low,Close,OI Future (index la value),Volume,Buy Market Order,Percent Buy Market Order,Sell Market Order,Percent Sell Market Order,Net (Buy-Sell),Percent Net(Buy-Sell),TD Buy Volume,TD Sell Volume,TD Net Volume,TD Total Volume,Percent TD Buy Volume,Percent TD Sell Volume,Percent TD Net Volume,Percent TD Total Volume,TD Buy Value,TD Sell Value,TD Net Value,TD Total Value,Percent TD Buy Value,Percent TD Sell Value,Percent TD Net Value,Percent TD Total Value,NN Buy Volume,NN Sell Volume,NN Net Volume,NN Total Volume,Percent NN Buy Volume,Percent NN Sell Volume,Percent NN Net Volume,Percent NN Total Volume,NN Buy Value,NN Sell Value,NN Net Value,NN Total Value,Percent NN Buy Value,Percent NN Sell Value,Percent NN Net Value,Percent NN Total Value,prev_close,is_up,up_volume,percent_up_volume,volume_MA5
2000-07-28,100.0,100.0,100.0,100.0,70400000.0,4200.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,,False,0.0,0.0,4200.0
2000-07-31,101.55,101.55,101.55,101.55,176890000.0,10300.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,100.0,True,10300.0,100.0,7250.0
2000-08-02,103.38,103.38,103.38,103.38,5160000.0,300.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,101.55,True,300.0,100.0,4933.333333333333
2000-08-04,105.2,105.2,105.2,105.2,62600000.0,3700.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,103.38,True,3700.0,100.0,4625.0
2000-08-07,106.92,106.92,106.92,106.92,229190000.0,13100.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,105.2,True,13100.0,100.0,6320.0
2000-08-09,108.64,108.64,108.64,108.64,288330000.0,15900.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,106.92,True,15900.0,100.0,8660.0
2000-08-11,110.36,110.36,110.36,110.36,240280000.0,13600.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,108.64,True,13600.0,100.0,9320.0
2000-08-14,112.08,112.08,112.08,112.08,212580000.0,11700.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,110.36,True,11700.0,100.0,11600.0
2000-08-16,113.8,113.8,113.8,113.8,423830000.0,23000.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,112.08,True,23000.0,100.0,15460.0
2000-08-18,115.52,115.52,115.52,115.52,196570000.0,10300.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,113.8,True,10300.0,100.0,14900.0
2000-08-21,117.24,117.24,117.24,117.24,695560000.0,35500.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,115.52,True,35500.0,100.0,18820.0
2000-08-23,118.96,118.96,118.96,118.96,2208700000.0,111400.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,117.24,True,111400.0,100.0,38380.0
2000-08-25,118.84,118.84,118.84,118.84,1919470000.0,95200.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,118.96,False,0.0,0.0,55080.0
2000-08-28,117.0,117.0,117.0,117.0,1915040000.0,97900.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,118.84,False,0.0,0.0,70060.0
2000-08-30,115.15,115.15,115.15,115.15,2478800000.0,126500.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,117.0,False,0.0,0.0,93300.0
2000-09-01,113.37,113.37,113.37,113.37,1840190000.0,96600.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,115.15,False,0.0,0.0,105520.0
2000-09-06,112.51,112.51,112.51,112.51,1176380000.0,60900.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,113.37,False,0.0,0.0,95420.0
2000-09-08,112.39,112.39,112.39,112.39,895570000.0,49500.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,112.51,False,0.0,0.0,86280.0
2000-09-11,114.11,114.11,114.11,114.11,566020000.0,31300.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,112.39,True,31300.0,100.0,72960.0
2000-09-13,116.08,116.08,116.08,116.08,369140000.0,18400.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,114.11,True,18400.0,100.0,51340.0
