Date,Value
2000-07-28,0
2000-07-31,0
2000-08-02,0
2000-08-04,0
2000-08-07,0
2000-08-09,0
2000-08-11,0
2000-08-14,0
2000-08-16,0
2000-08-18,0
2000-08-21,0
2000-08-23,0
2000-08-25,0
2000-08-28,0
2000-08-30,0
2000-09-01,0
2000-09-06,0
2000-09-08,0
2000-09-11,0
2000-09-13,0
2000-09-15,0
2000-09-18,0
2000-09-20,0
2000-09-22,0
2000-09-25,0
2000-09-27,0
2000-09-29,0
2000-10-02,0
2000-10-04,0
2000-10-06,0
2000-10-09,0
2000-10-11,0
2000-10-13,0
2000-10-16,0
2000-10-18,0
2000-10-20,0
2000-10-23,0
2000-10-25,0
2000-10-27,0
2000-10-30,0
2000-11-01,-6.652595e+008
2000-11-03,-5.134772e+008
2000-11-06,-3.811359e+008
2000-11-08,-2.660783e+008
2000-11-10,-1.663738e+008
2000-11-13,-8.029453e+007
2000-11-15,-6295296
2000-11-17,5.700544e+007
2000-11-20,1.108427e+008
2000-11-22,1.563192e+008
2000-11-24,1.944202e+008
2000-11-27,2.260243e+008
2000-11-29,2.519157e+008
2000-12-01,2.727933e+008
2000-12-04,2.892797e+008
2000-12-06,3.019291e+008
2000-12-08,3.112348e+008
2000-12-11,3.176349e+008
2000-12-13,3.215188e+008
2000-12-15,3.232321e+008
2000-12-18,3.230806e+008
2000-12-20,3.213358e+008
2000-12-22,3.182373e+008
2000-12-25,3.139969e+008
2000-12-27,3.088013e+008
2000-12-29,3.028151e+008
2001-01-03,2.961828e+008
2001-01-05,2.890314e+008
2001-01-08,2.814716e+008
2001-01-10,2.736007e+008
2001-01-12,2.655031e+008
2001-01-15,2.572521e+008
2001-01-17,2.489113e+008
2001-01-19,2.405353e+008
2001-01-29,2.321712e+008
2001-01-31,2.238589e+008
2001-02-02,2.156328e+008
2001-02-05,2.075212e+008
2001-02-07,1.995482e+008
2001-02-09,1.917335e+008
2001-02-12,1.840933e+008
2001-02-14,1.766404e+008
2001-02-16,1.69385e+008
2001-02-19,1.623348e+008
2001-02-21,1.554951e+008
2001-02-23,1.488697e+008
2001-02-26,1.424607e+008
