Date,Number_of_stocks_up_10pct_quarterly,Number_of_stocks_down_10pct_quarterly,Total_stocks
2006-04-21 09:00:00,1,0,1
2006-04-24 09:00:00,1,0,1
2006-04-25 09:00:00,1,0,1
2006-04-26 09:00:00,1,0,1
2006-04-27 09:00:00,1,0,1
2006-04-28 09:00:00,1,0,1
2006-05-03 09:00:00,1,0,1
2006-05-04 09:00:00,1,0,1
2006-05-05 09:00:00,1,0,1
2006-05-08 09:00:00,1,0,1
2006-05-09 09:00:00,1,0,1
2006-05-10 09:00:00,1,0,1
2006-05-11 09:00:00,1,0,1
2006-05-12 09:00:00,1,0,1
2006-05-15 09:00:00,1,0,1
2006-05-16 09:00:00,1,0,1
2006-05-17 09:00:00,1,0,1
2006-05-18 09:00:00,1,0,1
2006-05-19 09:00:00,1,0,1
2006-05-22 09:00:00,1,0,1
2006-05-23 09:00:00,1,0,1
2006-05-24 09:00:00,1,0,1
2006-05-25 09:00:00,1,0,1
2006-05-26 09:00:00,1,0,1
2006-05-29 09:00:00,1,0,1
2006-05-30 09:00:00,1,0,1
2006-05-31 09:00:00,1,0,1
2006-06-01 09:00:00,1,0,1
2006-06-02 09:00:00,1,0,1
2006-06-05 09:00:00,1,0,1
2006-06-06 09:00:00,1,0,1
2006-06-07 09:00:00,1,0,1
2006-06-08 09:00:00,1,0,1
2006-06-09 09:00:00,1,0,1
2006-06-12 09:00:00,1,0,1
2006-06-13 09:00:00,1,0,1
2006-06-14 09:00:00,1,0,1
2006-06-15 09:00:00,1,0,1
2006-06-16 09:00:00,1,0,1
2006-06-19 09:00:00,1,0,1
2006-06-20 09:00:00,1,0,1
2006-06-21 09:00:00,1,0,1
2006-06-22 09:00:00,1,0,1
2006-06-23 09:00:00,1,0,1
2006-06-26 09:00:00,1,0,1
2006-06-27 09:00:00,1,0,1
2006-06-28 09:00:00,1,0,1
2006-06-29 09:00:00,0,0,1
2006-06-30 09:00:00,0,0,1
2006-07-03 09:00:00,0,0,1
2006-07-04 09:00:00,0,0,1
2006-07-05 09:00:00,0,0,1
2006-07-06 09:00:00,0,0,1
2006-07-07 09:00:00,0,0,1
2006-07-10 09:00:00,0,0,1
2006-07-11 09:00:00,0,0,1
2006-07-12 09:00:00,0,0,1
2006-07-13 09:00:00,0,0,1
2006-07-14 09:00:00,0,0,1
2006-07-17 09:00:00,0,1,1
2006-07-18 09:00:00,0,1,1
2006-07-19 09:00:00,0,1,1
2006-07-20 09:00:00,0,1,1
2006-07-21 09:00:00,0,1,1
2006-07-24 09:00:00,0,1,1
2006-07-25 09:00:00,0,1,1
2006-07-26 09:00:00,0,1,1
2006-07-27 09:00:00,0,1,1
2006-07-28 09:00:00,0,1,1
2006-07-31 09:00:00,0,1,1
2006-08-01 09:00:00,0,1,1
2006-08-02 09:00:00,0,1,1
2006-08-03 09:00:00,0,1,1
2006-08-04 09:00:00,0,1,1
2006-08-07 09:00:00,0,1,1
2006-08-08 09:00:00,0,1,1
2006-08-09 09:00:00,0,1,1
2006-08-10 09:00:00,0,1,1
2006-08-11 09:00:00,0,1,1
2006-08-14 09:00:00,0,1,1
2006-08-15 09:00:00,0,1,1
2006-08-16 09:00:00,0,0,1
2006-08-17 09:00:00,0,0,1
2006-08-18 09:00:00,0,0,1
2006-08-21 09:00:00,0,1,1
2006-08-22 09:00:00,0,1,1
2006-08-23 09:00:00,0,0,1
2006-08-24 09:00:00,0,0,1
2006-08-25 09:00:00,0,0,1
2006-08-28 09:00:00,0,0,1
2006-08-29 09:00:00,0,0,1
2006-08-30 09:00:00,0,0,1
2006-08-31 09:00:00,0,0,1
2006-09-01 09:00:00,0,0,1
2006-09-05 09:00:00,0,0,1
2006-09-06 09:00:00,0,0,1
2006-09-07 09:00:00,0,0,1
2006-09-08 09:00:00,0,0,1
2006-09-11 09:00:00,0,0,1
2006-09-12 09:00:00,0,0,1
2006-09-13 09:00:00,0,0,1
2006-09-14 09:00:00,0,0,1
2006-09-15 09:00:00,0,0,1
2006-09-18 09:00:00,0,0,1
2006-09-19 09:00:00,1,0,1
2006-09-20 09:00:00,0,0,1
2006-09-21 09:00:00,0,0,1
2006-09-22 09:00:00,0,0,1
2006-09-25 09:00:00,1,0,1
2006-09-26 09:00:00,1,0,1
2006-09-27 09:00:00,1,0,1
2006-09-28 09:00:00,1,0,1
2006-09-29 09:00:00,1,0,1
2006-10-02 09:00:00,1,0,1
2006-10-03 09:00:00,1,0,1
2006-10-04 09:00:00,1,0,1
2006-10-05 09:00:00,1,0,1
2006-10-06 09:00:00,1,0,1
2006-10-09 09:00:00,1,0,1
2006-10-10 09:00:00,1,0,1
2006-10-11 09:00:00,1,0,1
2006-10-12 09:00:00,1,0,1
2006-10-13 09:00:00,1,0,1
2006-10-16 09:00:00,1,0,1
2006-10-17 09:00:00,1,0,1
2006-10-18 09:00:00,1,0,1
2006-10-19 09:00:00,1,0,1
2006-10-20 09:00:00,1,0,1
2006-10-23 09:00:00,1,0,1
2006-10-24 09:00:00,1,0,1
2006-10-25 09:00:00,1,0,1
2006-10-26 09:00:00,1,0,1
2006-10-27 09:00:00,1,0,1
2006-10-30 09:00:00,1,0,1
2006-10-31 09:00:00,1,0,1
2006-11-01 09:00:00,1,0,1
2006-11-02 09:00:00,1,0,1
2006-11-03 09:00:00,1,0,1
2006-11-06 09:00:00,1,0,1
2006-11-07 09:00:00,1,0,1
2006-11-08 09:00:00,1,0,1
2006-11-09 09:00:00,1,0,1
2006-11-10 09:00:00,1,0,1
2006-11-13 09:00:00,1,0,1
2006-11-14 09:00:00,1,0,1
2006-11-15 09:00:00,1,0,1
2006-11-16 09:00:00,1,0,1
