Date,Number_of_stocks_up_2pct,Number_of_stocks_down_2pct,AD_ratio_5day,AD_ratio_10day
2006-01-09 09:00:00,1,0,,
2006-01-11 09:00:00,0,0,,
2006-01-12 09:00:00,1,0,,
2006-01-18 09:00:00,1,0,,
2006-01-19 09:00:00,0,0,,
2006-01-20 09:00:00,0,0,4.0,
2006-01-23 09:00:00,0,0,1.5,
2006-01-24 09:00:00,0,0,1.0,
2006-01-25 09:00:00,0,0,1.0,
2006-01-26 09:00:00,0,0,1.0,3.5
2006-01-27 09:00:00,0,0,2.0,3.0
2006-02-06 09:00:00,0,0,,3.0
2006-02-07 09:00:00,1,0,,3.0
2006-02-08 09:00:00,0,1,4.0,2.0
2006-02-09 09:00:00,0,0,1.5,1.25
2006-02-10 09:00:00,1,0,2.0,2.0
2006-02-11 09:00:00,0,1,1.0,2.0
2006-02-13 09:00:00,0,0,0.5,1.5
2006-02-14 09:00:00,0,0,0.6667,1.5
2006-02-15 09:00:00,1,0,1.5,1.5
2006-02-16 09:00:00,0,0,1.5,1.75
2006-02-17 09:00:00,0,0,4.0,1.75
2006-02-20 09:00:00,1,0,,1.75
2006-02-21 09:00:00,1,0,,2.3333
2006-02-22 09:00:00,0,1,4.0,2.3333
2006-02-23 09:00:00,0,0,4.0,2.3333
2006-02-24 09:00:00,0,0,3.0,3.5
2006-02-27 09:00:00,1,0,3.0,8.0
2006-02-28 09:00:00,1,0,3.0,8.0
2006-03-01 09:00:00,1,0,,8.0
2006-03-02 09:00:00,1,0,,8.0
2006-03-03 09:00:00,0,1,4.0,3.5
2006-03-06 09:00:00,1,0,4.0,3.5
2006-03-07 09:00:00,0,0,4.0,3.5
2006-03-08 09:00:00,0,1,1.0,2.3333
2006-03-09 09:00:00,0,0,0.5,1.5
2006-03-10 09:00:00,1,0,1.0,1.75
2006-03-11 09:00:00,0,1,0.5,1.2
2006-03-13 09:00:00,1,0,0.5,1.2
2006-03-14 09:00:00,1,0,1.5,1.2
2006-03-15 09:00:00,0,0,1.5,0.8333
2006-03-16 09:00:00,1,0,1.5,1.2
2006-03-17 09:00:00,1,0,4.0,1.2
2006-03-20 09:00:00,1,0,4.0,1.2
2006-03-21 09:00:00,1,0,4.0,2.3333
2006-03-22 09:00:00,0,1,4.0,2.3333
2006-03-23 09:00:00,0,0,3.0,2.0
2006-03-24 09:00:00,0,0,2.0,3.0
2006-03-27 09:00:00,1,0,2.0,3.0
2006-03-28 09:00:00,1,0,2.0,3.0
2006-03-29 09:00:00,1,0,,7.0
2006-03-30 09:00:00,1,0,,7.0
2006-03-31 09:00:00,1,0,,7.0
2006-04-03 09:00:00,1,0,,7.0
2006-04-04 09:00:00,0,1,4.0,3.0
2006-04-05 09:00:00,1,0,4.0,7.0
2006-04-06 09:00:00,0,0,4.0,8.0
2006-04-07 09:00:00,1,0,4.0,9.0
2006-04-08 09:00:00,0,1,1.5,4.0
2006-04-10 09:00:00,1,0,2.0,2.6667
2006-04-11 09:00:00,0,0,1.0,1.75
2006-04-12 09:00:00,1,1,0.75,1.4
2006-04-13 09:00:00,1,0,0.75,1.4
2006-04-14 09:00:00,0,0,1.0,1.2
2006-04-17 09:00:00,0,0,1.5,1.75
